                                                           影片信息     
==================================================================================================================================================
编号     日期         影厅               场次               片名          票价（元）    已售        上座率
01    07月15日     普1         08:00-10:00       Movie1          40              114           38.0%
02    07月15日     普2         08:00-10:00       Movie2          40              207           69.0%
03    07月15日     普3         08:00-10:00       Movie3          40              122           40.7%
04    07月15日     三1         08:00-10:00       Movie4          60               27           13.5%
05    07月15日     三2         08:00-10:00       Movie4          60                8            4.0%
06    07月15日     贵1         08:00-10:00       Movie1          50               30           30.0%
07    07月15日     普1         10:00-12:00       Movie1          40               98           32.7%
08    07月15日     普2         10:00-12:00       Movie2          40              128           42.7%
09    07月15日     普3         10:00-12:00       Movie3          40              294           98.0%
10    07月15日     三1         10:00-12:00       Movie5          60              200           100.0%
11    07月15日     三2         10:00-12:00       Movie5          60              137           68.5%
12    07月15日     贵1         10:00-12:00       Movie2          50               57           57.0%
13    07月15日     普1         12:30-14:30       Movie1          40               87           29.0%
14    07月15日     普2         12:30-14:30       Movie2          40               59           19.7%
15    07月15日     普3         12:30-14:30       Movie3          40               37           12.3%
16    07月15日     三1         12:30-14:30       Movie6          60               87           43.5%
17    07月15日     三2         12:30-14:30       Movie6          60               10            5.0%
18    07月15日     贵1         12:30-14:30       Movie3          50               89           89.0%
19    07月15日     普1         14:30-16:30       Movie1          40               55           18.3%
20    07月15日     普2         14:30-16:30       Movie2          40              124           41.3%
21    07月15日     普3         14:30-16:30       Movie3          40              179           59.7%
22    07月15日     三1         14:30-16:30       Movie7          70              192           96.0%
23    07月15日     三2         14:30-16:30       Movie7          70              172           86.0%
24    07月15日     贵1         14:30-16:30       Movie4          70               93           93.0%
25    07月15日     普1         16:30-18:30       Movie1          40               21            7.0%
26    07月15日     普2         16:30-18:30       Movie2          40               82           27.3%
27    07月15日     普3         16:30-18:30       Movie3          40              186           62.0%
28    07月15日     三1         16:30-18:30       Movie4          60               33           16.5%
29    07月15日     三2         16:30-18:30       Movie4          60               18            9.0%
30    07月15日     贵1         16:30-18:30       Movie5          70               84           84.0%
31    07月15日     普1         19:00-21:00       Movie1          40              116           38.7%
32    07月15日     普2         19:00-21:00       Movie2          40              136           45.3%
33    07月15日     普3         19:00-21:00       Movie3          40              206           68.7%
34    07月15日     三1         19:00-21:00       Movie5          60              145           72.5%
35    07月15日     三2         19:00-21:00       Movie5          60              163           81.5%
36    07月15日     贵1         19:00-21:00       Movie6          70               76           76.0%
37    07月15日     普1         21:00-23:00       Movie1          40                3            1.0%
38    07月15日     普2         21:00-23:00       Movie2          40               31           10.3%
39    07月15日     普3         21:00-23:00       Movie3          40               35           11.7%
40    07月15日     三1         21:00-23:00       Movie6          60                5            2.5%
41    07月15日     三2         21:00-23:00       Movie6          60              155           77.5%
42    07月15日     贵1         21:00-23:00       Movie7          80                5            5.0%
43    07月16日     普1         08:00-10:00       Movie1          40              203           67.7%
44    07月16日     普2         08:00-10:00       Movie2          40              123           41.0%
45    07月16日     普3         08:00-10:00       Movie3          40               33           11.0%
46    07月16日     三1         08:00-10:00       Movie4          60               80           40.0%
47    07月16日     三2         08:00-10:00       Movie4          60              153           76.5%
48    07月16日     贵1         08:00-10:00       Movie1          50               14           14.0%
49    07月16日     普1         10:00-12:00       Movie1          40               47           15.7%
50    07月16日     普2         10:00-12:00       Movie2          40              284           94.7%
51    07月16日     普3         10:00-12:00       Movie3          40              104           34.7%
52    07月16日     三1         10:00-12:00       Movie5          60              142           71.0%
53    07月16日     三2         10:00-12:00       Movie5          60               18            9.0%
54    07月16日     贵1         10:00-12:00       Movie2          50               84           84.0%
55    07月16日     普1         12:30-14:30       Movie1          40              116           38.7%
56    07月16日     普2         12:30-14:30       Movie2          40              136           45.3%
57    07月16日     普3         12:30-14:30       Movie3          40              206           68.7%
58    07月16日     三1         12:30-14:30       Movie6          60              145           72.5%
59    07月16日     三2         12:30-14:30       Movie6          60              163           81.5%
60    07月16日     贵1         12:30-14:30       Movie3          50               76           76.0%
61    07月16日     普1         14:30-16:30       Movie1          40                3            1.0%
62    07月16日     普2         14:30-16:30       Movie2          40               31           10.3%
63    07月16日     普3         14:30-16:30       Movie3          40               35           11.7%
64    07月16日     三1         14:30-16:30       Movie7          70                5            2.5%
65    07月16日     三2         14:30-16:30       Movie7          70              155           77.5%
66    07月16日     贵1         14:30-16:30       Movie4          70                5            5.0%
67    07月16日     普1         16:30-18:30       Movie1          40              203           67.7%
68    07月16日     普2         16:30-18:30       Movie2          40              123           41.0%
69    07月16日     普3         16:30-18:30       Movie3          40               33           11.0%
70    07月16日     三1         16:30-18:30       Movie4          60               80           40.0%
71    07月16日     三2         16:30-18:30       Movie4          60              153           76.5%
72    07月16日     贵1         16:30-18:30       Movie5          70               14           14.0%
73    07月16日     普1         19:00-21:00       Movie1          40               47           15.7%
74    07月16日     普2         19:00-21:00       Movie2          40              284           94.7%
75    07月16日     普3         19:00-21:00       Movie3          40              104           34.7%
76    07月16日     三1         19:00-21:00       Movie5          60              142           71.0%
77    07月16日     三2         19:00-21:00       Movie5          60               18            9.0%
78    07月16日     贵1         19:00-21:00       Movie6          70               84           84.0%
79    07月16日     普1         21:00-23:00       Movie1          40              116           38.7%
80    07月16日     普2         21:00-23:00       Movie2          40              136           45.3%
81    07月16日     普3         21:00-23:00       Movie3          40              206           68.7%
82    07月16日     三1         21:00-23:00       Movie6          60              145           72.5%
83    07月16日     三2         21:00-23:00       Movie6          60              163           81.5%
84    07月16日     贵1         21:00-23:00       Movie7          80               76           76.0%
85    07月17日     普1         08:00-10:00       Movie1          40                3            1.0%
86    07月17日     普2         08:00-10:00       Movie2          40               31           10.3%
87    07月17日     普3         08:00-10:00       Movie3          40               35           11.7%
88    07月17日     三1         08:00-10:00       Movie4          60                5            2.5%
89    07月17日     三2         08:00-10:00       Movie4          60              155           77.5%
90    07月17日     贵1         08:00-10:00       Movie1          50                5            5.0%
91    07月17日     普1         10:00-12:00       Movie1          40              203           67.7%
92    07月17日     普2         10:00-12:00       Movie2          40              123           41.0%
93    07月17日     普3         10:00-12:00       Movie3          40               33           11.0%
94    07月17日     三1         10:00-12:00       Movie5          60               80           40.0%
95    07月17日     三2         10:00-12:00       Movie5          60              153           76.5%
96    07月17日     贵1         10:00-12:00       Movie2          50               14           14.0%
97    07月17日     普1         12:30-14:30       Movie1          40               47           15.7%
98    07月17日     普2         12:30-14:30       Movie2          40              284           94.7%
99    07月17日     普3         12:30-14:30       Movie3          40              104           34.7%
100    07月17日     三1         12:30-14:30       Movie6          60              142           71.0%
101    07月17日     三2         12:30-14:30       Movie6          60               18            9.0%
102    07月17日     贵1         12:30-14:30       Movie3          50               84           84.0%
103    07月17日     普1         14:30-16:30       Movie1          40              116           38.7%
104    07月17日     普2         14:30-16:30       Movie2          40              136           45.3%
105    07月17日     普3         14:30-16:30       Movie3          40              206           68.7%
106    07月17日     三1         14:30-16:30       Movie7          70              145           72.5%
107    07月17日     三2         14:30-16:30       Movie7          70              163           81.5%
108    07月17日     贵1         14:30-16:30       Movie4          70               76           76.0%
109    07月17日     普1         16:30-18:30       Movie1          40                3            1.0%
110    07月17日     普2         16:30-18:30       Movie2          40               31           10.3%
111    07月17日     普3         16:30-18:30       Movie3          40               35           11.7%
112    07月17日     三1         16:30-18:30       Movie4          60                5            2.5%
113    07月17日     三2         16:30-18:30       Movie4          60              155           77.5%
114    07月17日     贵1         16:30-18:30       Movie5          70                5            5.0%
115    07月17日     普1         19:00-21:00       Movie1          40              203           67.7%
116    07月17日     普2         19:00-21:00       Movie2          40              123           41.0%
117    07月17日     普3         19:00-21:00       Movie3          40               33           11.0%
118    07月17日     三1         19:00-21:00       Movie5          60               80           40.0%
119    07月17日     三2         19:00-21:00       Movie5          60              153           76.5%
120    07月17日     贵1         19:00-21:00       Movie6          70               14           14.0%
121    07月17日     普1         21:00-23:00       Movie1          40               47           15.7%
122    07月17日     普2         21:00-23:00       Movie2          40              284           94.7%
123    07月17日     普3         21:00-23:00       Movie3          40              104           34.7%
124    07月17日     三1         21:00-23:00       Movie6          60              142           71.0%
125    07月17日     三2         21:00-23:00       Movie6          60               18            9.0%
126    07月17日     贵1         21:00-23:00       Movie6          70               84           84.0%
